"sum","nws_precip_1day_observed_20110516.shp.tiff",1505.02
"sum","nws_precip_1day_observed_20110517.shp.tiff",265.48
"sum","nws_precip_1day_observed_20110518.shp.tiff",443.24
"sum","nws_precip_1day_observed_20110519.shp.tiff",591.9
"sum","nws_precip_1day_observed_20110520.shp.tiff",250.37
"sum","nws_precip_1day_observed_20110521.shp.tiff",255.47
"sum","nws_precip_1day_observed_20110522.shp.tiff",204.75
"sum","nws_precip_1day_observed_20110523.shp.tiff",50.08
"sum","nws_precip_1day_observed_20110524.shp.tiff",66.87
"sum","nws_precip_1day_observed_20110525.shp.tiff",72.27
"sum","nws_precip_1day_observed_20110526.shp.tiff",0.01
"sum","nws_precip_1day_observed_20110527.shp.tiff",1095.87
"sum","nws_precip_1day_observed_20110528.shp.tiff",401.79
"sum","nws_precip_1day_observed_20110529.shp.tiff",72.76
"sum","nws_precip_1day_observed_20110530.shp.tiff",262.64
"sum","nws_precip_1day_observed_20110531.shp.tiff",65.22
"sum","nws_precip_1day_observed_20110601.shp.tiff",69.04
"sum","nws_precip_1day_observed_20110602.shp.tiff",421.35
"sum","nws_precip_1day_observed_20110603.shp.tiff",1.58
"sum","nws_precip_1day_observed_20110604.shp.tiff",0
"sum","nws_precip_1day_observed_20110605.shp.tiff",0
"sum","nws_precip_1day_observed_20110606.shp.tiff",13.16
"sum","nws_precip_1day_observed_20110607.shp.tiff",3.2
"sum","nws_precip_1day_observed_20110608.shp.tiff",0.98
"sum","nws_precip_1day_observed_20110609.shp.tiff",432.04
"sum","nws_precip_1day_observed_20110610.shp.tiff",754.28
"sum","nws_precip_1day_observed_20110611.shp.tiff",186.16
"sum","nws_precip_1day_observed_20110612.shp.tiff",875.99
"sum","nws_precip_1day_observed_20110613.shp.tiff",145.71
"sum","nws_precip_1day_observed_20110614.shp.tiff",467.51
"sum","nws_precip_1day_observed_20110615.shp.tiff",110.51
"sum","nws_precip_1day_observed_20110616.shp.tiff",228.75
"sum","nws_precip_1day_observed_20110617.shp.tiff",68.91
"sum","nws_precip_1day_observed_20110618.shp.tiff",389.88
"sum","nws_precip_1day_observed_20110619.shp.tiff",100.43
